,context,next_token,metric_value
0,"[':Ċ', '<|im_end|>', 'Ċ']",[':Ċ'],1.3113021850585938e-06
1,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],0.000335693359375
2,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.811981201171875e-05
3,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
4,"['assistant', 'Ċ', '<']",['assistant'],-0.0
5,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
6,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],3.5762786865234375e-07
7,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.430511474609375e-06
8,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
9,"['assistant', 'Ċ', '<']",['assistant'],-0.0
10,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
11,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
12,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
13,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
14,"['assistant', 'Ċ', '<']",['assistant'],-0.0
15,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
16,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
17,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],5.960464477539062e-07
18,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
19,"['assistant', 'Ċ', '<']",['assistant'],-0.0
20,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
21,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
22,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
23,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
24,"['assistant', 'Ċ', '<']",['assistant'],-0.0
25,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
26,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
27,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],4.76837158203125e-07
28,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
29,"['assistant', 'Ċ', '<']",['assistant'],-0.0
30,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
31,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
32,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.7881393432617188e-06
33,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
34,"['assistant', 'Ċ', '<']",['assistant'],-0.0
35,"[':Ċ', '<|im_end|>', 'Ċ']",[':Ċ'],1.3113021850585938e-06
36,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],0.000335693359375
37,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.811981201171875e-05
38,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
39,"['assistant', 'Ċ', '<']",['assistant'],-0.0
40,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
41,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],3.5762786865234375e-07
42,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],1.430511474609375e-06
43,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
44,"['assistant', 'Ċ', '<']",['assistant'],-0.0
45,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
46,"['<|im_end|>', 'Ċ', '<|im_start|>']",['<|im_end|>'],-0.0
47,"['Ċ', '<|im_start|>', 'assistant']",['Ċ'],3.5762786865234375e-07
48,"['<|im_start|>', 'assistant', 'Ċ']",['<|im_start|>'],-0.0
49,"['assistant', 'Ċ', '<']",['assistant'],-0.0
50,"['>.', '<|im_end|>', 'Ċ']",['>.'],-0.0
